tickers,T,NFLX,FB,DISCK,VZ,IPG,DISH,CMCSA,NWSA,NWS,DISCA,CHTR,DIS,ATVI,OMC,GOOG,EA
T,1.0,0.014771425052909164,0.0456725671176157,0.23855002527973995,0.5589371410824939,0.19474510960559555,0.20366754466808445,0.341030648991953,0.33821469776316154,0.3478223970425769,0.27216775126222287,0.16208184751231108,0.37468160978094756,0.2083758340653673,0.2776009190977757,0.24415297961015378,0.0957839773404806
NFLX,0.014771425052909164,0.9999999999999999,0.09175791528732703,0.1443850267379679,0.03675409557762498,0.10669722434428315,0.09863757913896856,0.1320826791224054,0.11688311688311687,0.1258011121204401,0.16373822256175194,0.15603378877728186,0.04227683722039519,0.18533150233381993,0.07342330871742635,0.2532043120278414,0.25394804695410855
FB,0.0456725671176157,0.09175791528732703,0.9999999999999999,0.023512435277141155,0.04660045836516424,0.06697224344283167,0.051950256827064334,0.03989643906653634,0.050335285629403266,0.04872458728551459,0.061539767422120355,0.10747485124702875,0.09066598825578728,0.14082476208500158,0.03709362532891944,0.07359307359307359,0.07310239666582663
DISCK,0.23855002527973995,0.1443850267379679,0.023512435277141155,0.9999999999999999,0.23062558356676002,0.3491214667685255,0.2590721958107849,0.3515979800289224,0.4017485782191664,0.4154322825353805,0.8254817078346489,0.3110488585853976,0.3453457305473246,0.1501677800761657,0.39427892369068834,0.2389440624734742,0.32679573143643054
VZ,0.5589371410824939,0.03675409557762498,0.04660045836516424,0.23062558356676002,0.9999999999999999,0.20482132246838125,0.1853911125985433,0.3084758714208363,0.28596893302775656,0.29217775163195336,0.2513368983957219,0.16825841640727568,0.3017106013680412,0.20605601496876585,0.26831338596044474,0.22604193192428482,0.10163016121834434
IPG,0.19474510960559555,0.10669722434428315,0.06697224344283167,0.3491214667685255,0.20482132246838125,0.9999999999999999,0.3239251308040482,0.27452145519399684,0.35455394278923685,0.36416111403285295,0.3827349121466768,0.2095165346585047,0.3225943402359473,0.20011045806529779,0.49206349206349204,0.21585603938545114,0.33902191624465244
DISH,0.20366754466808443,0.09863757913896856,0.05195025682706434,0.2590721958107849,0.18539111259854332,0.32392513080404817,1.0,0.2725806451612903,0.30966427598877566,0.30908319185059424,0.28080302219596215,0.3162407686071757,0.25919008498193485,0.19646652585180793,0.38640125666143277,0.19880310700814488,0.2615156076747716
CMCSA,0.34103064899195296,0.1320826791224054,0.03989643906653634,0.3515979800289224,0.30847587142083627,0.27452145519399684,0.2725806451612903,1.0,0.46840117184925,0.48769100169779284,0.3923432795011297,0.31963664263248764,0.4266066744298142,0.1954472442650281,0.33648826480797883,0.2349645602897289,0.23128847899547986
NWSA,0.33821469776316154,0.11688311688311687,0.050335285629403266,0.4017485782191664,0.28596893302775656,0.35455394278923685,0.3096642759887756,0.46840117184925006,0.9999999999999999,0.9019990670659896,0.4390968508615567,0.2922025576558238,0.44399168406158007,0.2724763792332238,0.4034462269756387,0.26814362108479756,0.2851927414640089
NWS,0.3478223970425769,0.12580111212044012,0.04872458728551459,0.4154322825353805,0.2921777516319533,0.36416111403285295,0.30908319185059424,0.48769100169779284,0.9019990670659896,1.0,0.44446330840932824,0.3033364473109903,0.4738093233816504,0.2686656382487109,0.4161113708599173,0.2468486059691227,0.29242199767269916
DISCA,0.27216775126222287,0.16373822256175194,0.061539767422120355,0.8254817078346489,0.2513368983957219,0.3827349121466768,0.28080302219596215,0.3923432795011297,0.4390968508615567,0.4444633084093282,0.9999999999999999,0.29814508497595965,0.38830171374716393,0.1890687095302856,0.4234784823020117,0.26814362108479756,0.3203430227876468
CHTR,0.16208184751231108,0.15603378877728186,0.10747485124702875,0.3110488585853976,0.16825841640727568,0.2095165346585047,0.3162407686071757,0.3196366426324877,0.2922025576558238,0.3033364473109903,0.2981450849759597,1.0,0.2634572932586178,0.10966702070052556,0.2862600303356879,0.15705250774644802,0.22281662813955772
DIS,0.37468160978094756,0.04227683722039519,0.09066598825578728,0.34534573054732465,0.30171060136804123,0.32259434023594724,0.2591900849819349,0.4266066744298142,0.44399168406158007,0.4738093233816504,0.3883017137471639,0.2634572932586178,1.0,0.20107036250824475,0.35400484178523683,0.1942357501210125,0.2163630977513693
ATVI,0.20837583406536733,0.18533150233381993,0.14082476208500158,0.1501677800761657,0.20605601496876588,0.20011045806529779,0.19646652585180793,0.1954472442650281,0.2724763792332238,0.268665638248711,0.1890687095302856,0.10966702070052557,0.20107036250824478,0.9999999999999999,0.23442481505102797,0.25939615404559396,0.3345652510762917
OMC,0.2776009190977757,0.07342330871742635,0.03709362532891944,0.39427892369068834,0.26831338596044474,0.49206349206349204,0.38640125666143277,0.3364882648079788,0.4034462269756387,0.41611137085991734,0.4234784823020117,0.286260030335688,0.3540048417852369,0.23442481505102797,0.9999999999999999,0.26882268058738645,0.26379691804962063
GOOG,0.24415297961015378,0.2532043120278414,0.07359307359307359,0.2389440624734742,0.22604193192428482,0.21585603938545114,0.19880310700814488,0.23496456028972892,0.26814362108479756,0.2468486059691227,0.26814362108479756,0.15705250774644802,0.19423575012101246,0.25939615404559396,0.26882268058738645,0.9999999999999999,0.27364578914513266
EA,0.0957839773404806,0.25394804695410855,0.07310239666582663,0.32679573143643054,0.10163016121834434,0.33902191624465244,0.2615156076747716,0.23128847899547983,0.2851927414640089,0.29242199767269916,0.32034302278764676,0.22281662813955774,0.2163630977513693,0.3345652510762917,0.26379691804962063,0.27364578914513266,1.0
